assembly	seeds	size
GCF_001511835.1	102100	4992477
GCA_022712835.1	102099	5627471
GCF_000737765.1	102099	5487842
GCF_014490745.1	102098	4970700
GCF_022179085.1	102095	4877645
GCA_002973635.1	102090	5508835
GCF_021026315.1	102089	5220879
GCF_002906655.1	102083	5612082
GCF_002075345.1	102080	5575578
GCA_024347335.1	102079	5636967
GCA_007693585.1	102077	4971832
GCA_020199995.1	102076	5317045
GCA_023434855.1	102069	5653502
GCA_009857915.1	102068	5307629
GCF_003057875.1	102067	4533856
GCA_913778455.1	102065	5413526
GCF_005887115.1	102065	5638232
GCA_012517325.1	102058	5246920
GCA_022869805.1	102056	5058678
GCA_913774955.1	102054	4778631
GCF_900101095.1	102054	5004253
GCF_902706195.1	102053	5266917
GCA_012960035.1	102052	5501502
GCF_013184775.1	102050	5278758
GCA_013205085.1	102034	4754022
GCF_018492665.1	102027	5554958
GCF_006439055.1	102023	5126166
GCF_000733925.1	102022	5550230
GCA_016875405.1	102021	5024321
GCA_003224175.1	102020	5618620
GCA_002025645.1	102011	4541048
GCA_020628065.1	102009	5429105
GCA_003131625.1	102005	5394508
GCF_000298235.1	102004	4941607
GCF_003049685.1	102001	5518186
GCF_017355885.1	101997	5017681
GCF_018383905.1	101996	5427504
GCA_019459485.1	101995	5528957
GCF_001426565.1	101993	5260751
GCF_002929335.1	101993	5218843
GCF_002939785.1	101988	5043310
GCA_012032555.1	101982	5558613
GCA_903847205.1	101982	5494609
GCA_003139095.1	101981	5531701
GCF_902812655.1	101977	5320157
GCF_008085915.1	101968	5355034
GCF_002019605.1	101962	5523573
GCF_001653335.1	101961	4376707
GCA_006969385.1	101960	5475473
GCA_016874875.1	101960	4742819
GCF_014194975.1	101958	4901897
GCF_900109995.1	101955	5293913
GCF_014269285.1	101951	5564032
GCA_021202075.1	101946	5554453
GCF_019042245.1	101946	5576960
GCA_903842505.1	101945	5212368
GCF_006704125.1	101945	4805991
GCF_000993825.1	101941	5575484
GCA_018240685.1	101938	5043597
GCF_003610915.1	101938	5499108
GCA_019694575.1	101935	5277581
GCA_945861435.1	101934	5353362
GCF_014897705.1	101930	4811703
GCF_004137345.1	101929	4604445
GCF_000282575.1	101927	5113042
GCA_019911795.1	101922	5416258
GCF_003046185.1	101908	4880542
GCF_900129275.1	101908	5551910
GCF_019977355.1	101907	5171632
GCF_016427565.1	101903	5200315
GCA_003161205.1	101901	5084330
GCF_009707325.1	101898	5310907
GCF_003205835.1	101897	4891004
GCA_013112715.1	101895	5550143
GCF_003350535.1	101892	5147802
GCF_007859955.1	101889	5265585
GCF_002918555.1	101887	5533855
GCA_021774335.1	101885	5408971
GCF_019599505.1	101881	5195189
GCA_024707075.1	101880	5300980
GCA_020633125.1	101875	4857926
GCA_023251455.1	101871	5555012
GCF_018613795.1	101869	5256617
GCF_900104265.1	101868	5084171
GCA_913063265.1	101863	5487558
GCA_003052455.1	101862	4387525
GCA_019449555.1	101862	5100867
GCF_024807845.1	101846	5591990
GCA_018262505.1	101845	5278597
GCF_004000985.1	101843	5535087
GCF_900636545.1	101843	5192837
GCA_023241745.1	101837	4474848
GCF_000380245.2	101833	5451072
GCA_017849455.1	101831	5509993
GCF_020526085.1	101827	5443802
GCF_009711365.1	101826	5680486
GCF_009900745.1	101821	5409513
GCF_014204495.1	101818	4957855
GCA_022844135.1	101817	5340936
GCF_014656545.1	101810	5566012
GCA_004346725.1	101809	5544270
GCA_022702125.1	101808	4681335
GCF_002915175.1	101803	5464393
GCF_001647275.1	101797	5502314
GCA_013298025.1	101795	5441747
GCF_014646135.1	101791	5214713
GCF_004563925.1	101786	5221161
GCA_011525945.1	101785	5293338
GCA_024372625.1	101779	4655332
GCA_007692755.1	101778	5557906
GCF_014180685.1	101778	4640730
GCA_014803435.1	101777	4485253
GCF_900104485.1	101776	5094548
GCF_001884135.1	101774	5487699
GCA_024644235.1	101769	5632336
GCA_020073395.1	101765	5542370
GCA_019636315.1	101764	5536146
GCF_014635305.1	101759	4809572
GCF_004137245.1	101750	4577250
GCA_001548395.1	101743	5480261
GCA_003166955.1	101731	5409550
GCA_020431825.1	101722	5632175
GCF_004011135.1	101722	4359758
GCF_000576595.1	101717	4636528
GCF_001650195.1	101713	5551896
GCA_900107365.1	101712	5440428
GCA_016926135.1	101709	5518067
GCF_001580455.1	101708	4916630
GCF_001590985.1	101705	5236092
GCF_013450155.1	101704	4842419
GCA_945898215.1	101696	4778563
GCF_003231285.1	101696	5483332
GCA_016707605.1	101693	5044159
GCF_000299035.1	101689	5477100
GCF_002220655.1	101689	5300955
GCF_001404985.1	101685	5349683
GCF_019801605.1	101685	4911259
GCA_017883345.1	101682	5447107
GCA_019634305.1	101680	5432135
GCA_002699145.1	101672	5201423
GCF_000332995.1	101670	4915471
GCF_000708285.2	101669	5544917
GCA_020629335.1	101668	5542892
GCA_903889915.1	101666	5554721
GCA_024234055.1	101661	5171918
GCF_024171725.1	101661	4636441
GCF_000504165.1	101659	5569389
GCF_004683865.2	101659	4925228
GCF_014193675.1	101658	5233656
GCA_023150375.1	101657	4631127
GCF_000518885.1	101657	5558489
GCA_020073015.1	101648	5500238
GCF_000710775.1	101648	5606375
GCF_000007145.1	101647	5076188
GCA_020425835.1	101644	5108164
GCF_000949865.1	101637	5328872
GCF_002631185.1	101632	4653735
GCF_004364865.1	101625	4775416
GCF_000768065.1	101614	5020969
GCF_000455265.1	101607	5584690
GCA_016200225.1	101604	5312767
GCA_014237855.1	101603	5313459
GCF_000576575.1	101595	4804251
GCF_002200015.1	101592	5478803
GCF_002303885.1	101590	5397558
GCF_902706095.1	101590	5288166
GCF_000964545.1	101585	5244861
GCF_017876515.1	101582	4628988
GCA_016213105.1	101577	5385123
GCF_000007825.1	101576	5427083
GCF_003614975.1	101576	5501702
GCF_900188375.1	101576	4379198
GCA_003611875.1	101573	5542728
GCA_022824105.1	101569	5041421
GCA_015472025.1	101568	5547679
GCF_900188255.1	101567	5534940
GCF_016429065.1	101560	5610321
GCF_900109365.1	101557	5547756
GCF_014196845.1	101552	5041052
GCA_024742395.1	101541	5539860
GCA_004292695.1	101539	5393899
GCF_014836755.1	101535	4486858
GCA_016713825.1	101533	5432132
GCA_009917455.1	101532	5508981
GCF_009792235.1	101530	5493112
GCF_000520815.1	101529	5617999
GCA_002256395.1	101525	5498424
GCF_008710285.1	101525	5505520
GCF_000620465.1	101521	5087452
GCA_012514895.1	101512	4889712
GCF_001591145.1	101503	5583643
GCF_013375155.1	101503	5320705
GCA_019636345.1	101501	5180343
GCF_003326755.1	101500	5360641
GCA_022821585.1	101498	5488239
GCF_010645075.1	101493	5421373
GCF_000422965.1	101492	5230452
GCF_018141545.1	101492	4542116
GCF_005503355.1	101491	5004185
GCF_011927845.1	101490	5531556
GCF_001425025.1	101489	4490190
GCA_023428645.1	101488	5168746
GCF_900021165.1	101485	5515107
GCA_020631335.1	101477	5583166
GCF_014196505.1	101473	5179475
GCF_019991125.1	101466	5292794
GCA_004193325.1	101465	5757044
GCF_001515525.1	101461	4713213
GCA_023442215.1	101454	4968426
GCA_005879805.1	101447	5021702
GCA_019683695.1	101447	5177012
GCF_000473165.1	101445	5344253
GCF_001050155.1	101441	5125657
GCF_000515115.1	101429	4681465
GCF_017916365.1	101422	5520221
GCF_002237555.1	101416	5331190
GCA_000755425.1	101407	5570107
GCF_001839655.2	101404	5076637
GCA_012034055.1	101398	5602015
GCF_001404335.1	101398	5545490
GCF_024448895.1	101393	5393046
GCA_023412765.1	101387	5640736
GCF_000800255.1	101384	5087619
GCF_004519295.1	101384	4377803
GCF_001650725.1	101382	5154797
GCF_007005445.1	101378	5042906
GCA_024641945.1	101377	5019015
GCA_016710785.1	101376	4924095
GCF_007273535.1	101375	5459439
GCF_004358345.1	101374	5468749
GCA_019459525.1	101370	5541905
GCF_003339865.1	101364	5448160
GCF_006575665.1	101362	5550304
GCF_017084525.1	101357	4429519
GCF_007431345.1	101356	5292479
GCF_004216565.1	101350	4651965
GCF_002835735.1	101348	5494436
GCF_022554085.1	101348	4892277
GCA_002687015.1	101346	4881411
GCA_009699505.1	101346	4367030
GCA_903900155.1	101343	4943881
GCA_009377755.1	101336	5225134
GCF_000503775.1	101334	5545940
GCF_002938435.1	101331	4523459
GCA_024227565.1	101330	5466751
GCA_020634115.1	101328	5470799
GCF_001548475.1	101325	4993605
GCA_903864435.1	101316	5389799
GCA_020853845.1	101314	5586032
GCA_945897335.1	101312	5020031
GCF_001423745.1	101312	5201172
GCF_014395785.1	101308	4488624
GCA_021733945.1	101307	5406135
GCF_000158095.2	101305	5462930
GCA_020354645.1	101304	5571058
GCF_001421015.2	101304	5517199
GCF_014138045.1	101302	4460265
GCF_020524345.1	101301	5456093
GCA_003158395.1	101299	5349416
GCA_016217545.1	101299	5094286
GCF_003287285.1	101294	5046265
GCF_000588875.1	101292	5238558
GCF_001705515.1	101290	5478589
GCF_013365535.1	101288	5414780
GCF_009765785.1	101283	5479411
GCF_002335745.1	101281	5512723
GCA_021802375.1	101275	5707872
GCA_002727195.1	101271	5422662
GCA_018057605.1	101270	5498315
GCA_022822785.1	101270	5604615
GCF_002886185.1	101269	5511086
GCA_023429845.1	101266	4991299
GCA_903889605.1	101265	5625656
GCF_900103405.1	101260	5072534
GCA_903920315.1	101249	5498351
GCA_024235915.1	101247	4770200
GCF_010730745.1	101241	5050576
GCF_000428725.1	101239	5534630
GCA_002478115.1	101237	5512597
GCF_001468225.1	101225	5130000
GCA_021796315.1	101221	5581900
GCA_012719855.1	101216	5460202
GCF_900112525.1	101208	4316910
GCF_001484765.1	101203	5453996
GCF_001884235.1	101197	5453107
GCA_003223455.1	101196	4959095
GCF_900205965.1	101195	5477561
GCA_016207565.1	101185	4948250
GCF_018448925.1	101184	5546433
GCF_918698115.1	101184	5513925
GCF_014217785.1	101182	4772018
GCA_023150535.1	101177	4416724
GCA_024638765.1	101176	5427845
GCA_020723285.1	101172	5439685
GCA_022842185.1	101170	4972064
GCF_900230285.1	101169	4512672
GCA_017999915.1	101167	5455362
GCA_903850335.1	101166	5545537
GCA_003347635.1	101164	4950502
GCF_017742995.1	101146	5549631
GCF_900188145.1	101146	5388996
GCF_900172355.1	101145	5003117
GCA_001872605.1	101142	5488490
GCF_000092105.1	101130	5460085
GCA_001724605.1	101129	4891460
GCF_000964005.1	101124	4744957
GCF_003696205.1	101123	4391169
GCA_945888575.1	101122	4946902
GCF_002924445.1	101122	4903946
GCA_016235055.1	101120	5220653
GCA_013003715.1	101112	5497389
GCA_016788965.1	101110	5392963
GCA_013816485.1	101101	5199186
GCF_016653465.1	101101	5297929
GCA_021155195.1	101099	5510171
GCF_014203115.1	101099	5326151
GCA_007571365.1	101095	5474620
GCF_013004105.1	101094	5179092
GCF_014656355.1	101089	5207362
GCA_013347225.1	101081	5039009
GCF_021026195.1	101081	5101082
GCF_020164785.1	101074	5251997
GCF_005871085.1	101069	5013287
GCF_003034985.1	101067	4881442
GCF_019703835.1	101064	5557717
GCF_900113905.1	101064	5108022
GCF_001578185.1	101063	5521719
GCA_016845145.1	101058	5464398
GCF_003007785.1	101053	5442671
GCA_902826775.1	101052	5417317
GCF_003349965.1	101051	5519621
GCF_014217625.1	101050	4608984
GCA_002967005.1	101048	5125857
GCF_000332975.1	101048	5092029
GCA_009697105.1	101038	5435309
GCA_021778575.1	101037	5346659
GCF_003602095.1	101037	5457431
GCA_945903565.1	101029	5268434
GCF_000241955.1	101029	5448900
GCF_900116555.1	101027	4924010
GCF_003054195.1	101026	5135347
GCF_003025595.1	101024	5533005
GCA_024347355.1	101018	5569803
GCF_900094905.1	101012	5449703
GCF_011393025.1	101011	5500496
GCF_003052605.1	101005	5199651
GCF_000803645.1	101003	5202172
GCA_020831525.1	101001	5301669
GCF_014180715.1	100999	4546805
GCA_014730235.1	100994	5530932
GCF_014218705.1	100993	5476810
GCA_017881345.1	100992	4803330
GCA_903837135.1	100983	4950571
GCA_003141795.1	100978	5200069
GCF_002019645.1	100978	5427045
GCA_016936015.1	100975	5375127
GCF_000298215.1	100973	4847237
GCA_001953215.1	100972	4806848
GCA_010092855.1	100969	5451436
GCF_001005315.1	100967	5356465
GCF_006829085.1	100966	5402953
GCA_022843465.1	100953	5183495
GCA_021821365.1	100950	5269231
GCF_020805785.1	100950	5355850
GCA_024636835.1	100941	5543485
GCA_014377495.1	100936	5323469
GCA_023436205.1	100935	5558401
GCA_900215285.1	100934	5190151
GCF_902459725.1	100926	5205577
GCA_015272515.1	100925	5550306
GCA_001898645.1	100920	4721507
GCF_020622345.1	100919	5351665
GCF_019112525.1	100918	4224113
GCF_001658025.2	100916	5416158
GCF_000331515.1	100915	5536962
GCF_003852545.1	100915	4933988
GCA_902806335.1	100913	4820188
GCA_019237615.1	100907	4801470
GCA_016787295.1	100904	5421557
GCF_009832905.1	100901	4843584
GCA_022842375.1	100898	4824088
GCA_903848645.1	100892	5406100
GCA_020851015.1	100890	4951379
GCA_903864895.1	100887	5081451
GCA_021736785.1	100886	5205988
GCF_014218335.1	100885	5430627
GCA_020438865.1	100881	4964701
GCF_023243115.1	100881	4911255
GCA_900215435.1	100880	5453142
GCF_021117365.1	100880	4445725
GCF_900129935.1	100879	5558020
GCA_000613065.1	100877	5488377
GCF_004614185.1	100874	5023356
GCA_016935485.1	100871	4891853
GCF_000293785.1	100859	4831432
GCF_007989805.1	100852	4443613
GCA_012033495.1	100851	5540289
GCF_009664835.1	100851	4832009
GCF_001577365.1	100848	4766863
GCF_006494815.1	100844	4434294
GCA_020436785.1	100837	5596255
GCA_019247305.1	100835	5211134
GCF_000231035.2	100831	4669397
GCA_024653775.1	100824	5417346
GCF_003160695.1	100820	4510621
GCA_023430545.1	100817	5417341
GCA_913061385.1	100814	5702697
GCF_024160145.1	100812	5302202
GCF_010731795.1	100811	5024249
GCA_017309275.1	100810	5106904
GCA_023423415.1	100806	5348103
GCA_019057975.1	100804	5360919
GCF_004682015.1	100801	4794389
GCF_003614185.1	100798	5611962
GCA_016191525.1	100793	5002280
GCF_011634835.1	100786	4433416
GCA_023404675.1	100784	5149129
GCA_001896885.1	100783	5132883
GCA_017990895.1	100783	5086608
GCA_020632665.1	100779	4789559
GCA_019636135.1	100776	4674881
GCA_015661985.1	100775	5371904
GCA_022824945.1	100770	5494681
GCF_900105765.1	100770	4830506
GCF_004912145.1	100767	5248183
GCF_024436435.1	100764	5509061
GCA_014379925.1	100760	5434435
GCA_014695195.1	100760	5508096
GCA_024278275.1	100757	5347970
GCF_014193425.1	100754	4369610
GCF_000333895.2	100753	5555590
GCF_001269985.1	100749	5387613
GCF_023715685.1	100746	5481448
GCF_000520015.2	100740	5488183
GCA_900230115.1	100738	5461565
GCF_002104675.1	100734	5225940
GCF_900187015.1	100729	5209973
GCF_000378625.1	100726	5484375
GCF_003752175.1	100714	4958703
GCA_022827055.1	100709	5568535
GCF_005160265.1	100705	4975052
GCA_013822885.1	100704	5343911
GCA_014239625.1	100690	5302468
GCA_016199905.1	100690	5186529
GCA_014534425.1	100689	5425231
GCA_013361095.1	100683	5569051
GCF_000155735.2	100682	5478249
GCF_001274595.1	100680	4804002
GCA_016220035.1	100679	4776702
GCF_021044625.1	100677	5258610
GCF_003669015.1	100674	5045878
GCF_001424045.1	100673	5085900
GCA_016927855.1	100671	5339645
GCA_020639295.1	100667	4663621
GCA_024228675.1	100658	4906407
GCF_002556635.1	100653	5024522
GCF_023206055.1	100652	5526185
GCA_012513915.1	100648	5500631
GCA_016718605.1	100645	5335540
GCA_002434335.1	100642	5416640
GCF_023746615.1	100638	5519219
GCA_021463145.1	100633	5281103
GCA_023387235.1	100631	5151838
GCF_016924665.1	100625	4337702
GCA_001464895.1	100623	4925601
GCA_021299695.1	100623	5492797
GCF_900129455.1	100619	4480046
GCF_003696305.1	100617	4878733
GCF_021278965.1	100615	5357258
GCA_003628555.1	100614	4956835
GCF_004570385.1	100608	4574936
GCF_001620265.1	100604	4987611
GCF_008011855.1	100604	5291685
GCF_000204015.1	100597	5411525
GCF_943737005.1	100594	4892397
GCF_000418555.1	100593	5089000
GCA_945872975.1	100592	5373630
GCF_004306155.1	100592	4376879
GCF_017814915.1	100591	5029107
GCA_018828125.1	100588	5175633
GCA_019090455.1	100583	5553091
GCF_001307295.1	100582	5098553
GCF_014236795.1	100578	4785596
GCF_009757775.1	100572	5538742
GCF_000389635.1	100563	5044100
GCF_014204325.1	100561	5315521
GCF_002909235.1	100547	5453858
GCF_000772105.1	100543	5540337
GCA_021463315.1	100541	5183121
GCF_000340565.2	100540	5462271
GCF_002887595.1	100540	5479914
GCA_002412925.1	100538	5468536
GCF_000314675.2	100538	5261968
GCF_021789315.1	100538	5113695
GCF_001571225.1	100535	4841746
GCF_000455485.1	100529	5546433
GCF_003217095.1	100523	5123747
GCA_015660315.1	100522	5564998
GCF_024359545.1	100522	5080616
GCF_009707365.1	100519	4913910
GCA_023265235.1	100516	5454763
GCF_001402915.1	100514	5032994
GCF_900101855.1	100514	5340093
GCA_016930815.1	100513	5553417
GCF_015390235.1	100510	4201516
GCA_016704305.1	100507	5375741
GCA_900551225.1	100503	5484129
GCA_900105225.1	100500	5519819
GCF_022788695.1	100500	5211890
GCA_003499925.1	100493	5378228
GCF_003591175.1	100488	5383735
GCA_016195325.1	100484	4770328
GCF_021698975.1	100480	4410516
GCF_018413645.1	100477	4792521
GCF_000308295.2	100471	5334146
GCF_003432075.1	100467	5147582
GCA_016869375.1	100466	4976325
GCF_007993815.1	100464	5022177
GCF_015773195.1	100463	5320249
GCA_020636355.1	100461	5514324
GCF_004336745.1	100461	4709178
GCA_903828235.1	100459	4529335
GCA_913060805.1	100448	5484516
GCF_024158915.1	100447	5380122
GCF_009910705.1	100445	5053196
GCF_022376295.1	100444	5451672
GCF_000973105.1	100443	5521712
GCF_000738675.1	100442	5224920
GCF_014645515.1	100440	5443335
GCA_002239065.1	100435	4831323
GCA_020073665.1	100434	5422947
GCF_009733815.1	100434	4539704
GCA_012517265.1	100430	5236898
GCF_004320525.1	100427	5118715
GCF_018383585.1	100427	5191670
GCA_903921455.1	100426	5356169
GCF_021483115.1	100425	5245857
GCF_014206875.1	100422	5429024
GCA_012033015.1	100421	5558634
GCA_021324455.1	100413	5284155
GCA_023391285.1	100411	5208003
GCA_940746715.1	100409	5181803
GCF_014193515.1	100408	5118299
GCA_002975205.1	100405	5399770
GCF_000819565.1	100403	4969388
GCF_016888125.1	100397	5514817
GCA_020633655.1	100396	5522891
GCA_013297825.1	100395	5061064
GCF_017349295.1	100395	4582194
GCF_019049675.1	100393	5403853
GCA_001769385.1	100392	5386317
GCF_900143645.1	100388	5420325
GCF_021404405.1	100387	5082661
GCA_001898485.1	100381	5487359
GCF_000430045.1	100377	4688964
GCA_017996175.1	100371	5435724
GCF_012910955.1	100368	5146275
GCA_012719955.1	100366	5288095
GCF_014698145.1	100361	5466777
GCF_014191375.1	100360	5146974
GCA_900467185.1	100359	5037803
GCF_011420305.2	100356	4264922
GCF_002902985.1	100349	5411940
GCF_009674725.1	100344	5474439
GCA_945787465.1	100343	5454324
GCA_016707525.1	100342	5196947
GCA_020444245.1	100337	4411616
GCF_014196715.1	100331	5444802
GCF_003121625.1	100329	4558292
GCA_017745235.1	100325	4928801
GCA_003139995.1	100308	5493220
GCA_016342745.1	100308	5369517
GCF_003725695.1	100296	4457833
GCF_003751505.1	100293	5365586
GCF_024055665.1	100293	4704456
GCA_019638385.1	100292	5423843
GCF_001639065.2	100282	5535129
GCF_900128945.1	100279	5403181
GCF_900476395.1	100278	4896146
GCF_012848175.1	100273	4955824
GCF_016446475.1	100273	4834448
GCF_002797935.1	100272	5351669
GCA_009845545.1	100270	5567597
GCA_016212935.1	100268	5606485
GCF_009911795.1	100261	5170670
GCA_003529325.1	100258	5533864
GCF_002796605.1	100258	5038478
GCF_002019635.1	100255	5399367
GCF_011388215.1	100254	4561131
GCF_004363245.1	100252	5485389
GCA_012267415.1	100251	5459635
GCF_014636775.1	100249	4463991
GCA_016795035.1	100242	4857979
GCA_003482555.1	100240	5181187
GCF_001559595.1	100239	5501999
GCA_000309945.1	100235	5530491
GCF_002934605.1	100235	5375778
GCF_000378045.1	100233	5364574
GCA_022822245.1	100229	4828019
GCA_009914555.1	100227	4706822
GCF_000024925.1	100227	4253413
GCF_000685965.1	100227	5099778
GCA_017307955.1	100223	4815883
GCF_019933155.2	100223	5416110
GCF_013155375.1	100217	4378908
GCF_011440395.1	100215	5427463
GCF_004005845.1	100211	5323771
GCF_009711085.1	100201	4316226
GCF_000228725.2	100199	5342862
GCF_020102855.1	100199	4498790
GCF_014699115.1	100196	5368640
GCF_900089455.2	100195	4848101
GCF_014191725.1	100188	5346738
GCF_000621165.1	100187	5503346
GCA_000620545.1	100185	4567713
GCF_016464425.1	100183	4296322
GCF_018100805.1	100183	5354687
GCF_000423225.1	100177	4839203
GCF_019801965.1	100175	4834008
GCA_003151955.1	100169	4566085
GCA_001824475.1	100168	4877165
GCF_000519085.1	100166	4982370
GCF_000196615.1	100165	5372268
GCA_001899315.1	100161	5494645
GCA_903970405.1	100153	5452513
GCF_002940205.1	100153	4935183
GCF_900174585.1	100153	5467208
GCF_019966545.1	100147	5333784
GCF_000018025.1	100145	5517674
GCF_020405225.1	100144	5097323
GCF_022374935.2	100142	4980142
GCF_002208095.1	100140	5388828
GCF_012927105.1	100140	5162327
GCF_023015865.1	100139	5443177
GCA_023228945.1	100133	5165385
GCF_001644025.1	100131	5414320
GCA_021802115.1	100127	5060602
GCA_018268415.1	100125	4743377
GCA_001263235.1	100122	4783251
GCA_016928855.1	100122	5282483
GCF_006335005.1	100122	4483902
GCF_017654485.1	100121	4833053
GCA_023416195.1	100119	4863465
GCF_002019695.1	100111	5476388
GCF_001646655.1	100110	4824352
GCF_013464485.1	100110	4893467
GCF_004117055.1	100105	5374818
GCA_011389855.1	100100	5257679
GCF_007859945.1	100100	5067846
GCF_014201905.1	100095	4829273
GCF_900109375.1	100088	5309872
GCA_019634595.1	100087	5094573
GCF_014203155.1	100087	4851211
GCF_019977235.1	100081	5299525
GCF_017877355.1	100078	5345646
GCF_011759365.1	100077	5069287
GCF_900114625.1	100073	5275857
GCF_014197275.1	100063	4997784
GCF_014779665.1	100062	4418419
GCF_000282655.1	100060	5008816
GCF_016008875.1	100060	5125563
GCA_001770855.1	100057	5407531
GCF_013113715.1	100057	4522361
GCF_000714815.1	100051	5429412
GCF_002964865.1	100051	5443570
GCA_016861105.1	100048	4493200
GCF_000009985.1	100047	4967148
GCF_003096415.1	100047	5199916
GCA_003285105.1	100046	4807988
GCF_004327985.1	100044	5266295
GCF_001424545.1	100042	4585682
GCA_019683635.1	100040	5414053
GCA_903953895.1	100039	5466409
GCA_016199935.1	100038	5033878
GCF_003667315.2	100035	5042974
GCA_903880005.1	100032	5019142
GCF_900111995.1	100028	5374538
GCA_003165155.1	100027	5257996
GCF_001636405.1	100024	5460250
GCA_023424865.1	100022	5560720
GCF_009557055.1	100022	4278786
GCA_009911035.1	100018	5490857
GCF_900102105.1	100014	5283618
GCA_005503335.1	100012	4780954
GCF_016904945.1	100007	5183844
GCA_001464375.1	100002	4771846
GCF_002909255.1	100002	5431642
GCA_020633415.1	100001	5329030
GCA_022361195.1	99998	5425786
GCA_020851855.1	99996	5137082
GCA_002478885.1	99994	5468910
GCA_003671495.1	99993	5319631
GCA_018268755.1	99990	5364654
GCA_024347055.1	99982	5501118
GCF_918697925.1	99982	5112477
GCA_001603055.1	99971	4951698
GCF_024267675.1	99968	5345811
GCA_021805955.1	99967	5563798
GCA_020632915.1	99957	4453371
GCF_001455345.1	99954	5352926
GCF_001598235.1	99953	5134650
GCA_020439875.1	99946	5293837
GCF_000284595.1	99930	4769156
GCF_002939985.1	99930	5057880
GCF_007489285.1	99930	5124443
GCA_014860455.1	99926	5286262
GCA_903904005.1	99924	4558996
GCF_004151235.1	99922	5301041
GCF_900100925.1	99922	4682228
GCF_002803515.1	99914	4871419
GCA_009996515.1	99908	4576037
GCA_020633515.1	99908	4509287
GCF_014193585.1	99908	5114951
GCA_000722615.1	99907	5134606
GCA_018222965.1	99905	5483448
GCF_024207115.1	99905	5117379
GCF_009193175.1	99902	4424698
GCA_903882645.1	99897	5269037
GCF_010682105.1	99896	4388318
GCF_014863405.1	99894	5067993
GCF_900100015.1	99885	5501246
GCA_016219235.1	99883	5396440
GCA_903970595.1	99873	5148251
GCA_005503215.1	99868	5063652
GCF_000686025.1	99866	4696620
GCF_004054195.1	99862	5418978
GCA_002376235.1	99859	5254249
GCF_003944715.1	99858	5284593
GCF_018861325.1	99848	5227174
GCF_000317225.1	99842	5438272
GCA_015654925.1	99841	5344926
GCA_021819735.1	99836	5324726
GCF_001475935.1	99830	5012346
GCF_009932725.1	99829	5115180
GCF_900111565.1	99829	5390125
GCF_000745775.1	99828	5284058
GCF_003417535.1	99827	4583034
GCF_000715495.1	99826	5262418
GCA_020161615.1	99818	4866760
GCA_020850735.1	99816	4994402
GCF_007991735.1	99811	4420518
GCF_016901015.1	99811	4869730
GCA_016213265.1	99805	4614482
GCF_000832125.1	99803	5283672
GCF_000238315.3	99798	5488279
GCF_000633535.1	99791	4578455
GCF_001969265.1	99787	5041568
GCF_003646465.1	99787	5040141
GCF_023078475.1	99782	5091598
GCF_001593385.1	99780	5329483
GCF_000285515.1	99772	5614755
GCA_016870055.1	99770	5014335
GCA_009377395.1	99769	4694885
GCF_010731535.1	99769	5092988
GCA_903970215.1	99767	4992893
GCA_016463765.1	99759	4568799
GCA_022447225.1	99755	5431987
GCF_003713065.1	99750	5289049
GCF_000179615.1	99748	5452778
GCF_003934165.1	99738	5448824
GCA_013298105.1	99727	5353401
GCF_009707385.1	99725	5394761
GCF_014489595.1	99724	4679990
GCF_014639155.1	99723	5502902
GCF_004570875.1	99722	4520567
GCF_000261365.1	99716	5047645
GCF_002799165.1	99716	4846973
GCA_023384595.1	99714	4826633
GCA_022763165.1	99713	5507747
GCF_001591665.1	99712	5464808
GCA_903854205.1	99710	5518613
GCA_913774625.1	99705	4663157
GCF_002162355.1	99704	5249768
GCF_002937075.1	99704	5092596
GCF_015686695.1	99701	5484941
GCA_018649885.1	99697	5447460
GCA_020723305.1	99695	5404902
GCA_020636045.1	99694	5366278
GCF_002879645.1	99691	4816801
GCF_009765985.1	99688	5437681
GCA_900473745.1	99687	5201652
GCF_021278985.1	99667	5381137
GCF_014694455.1	99664	5540542
GCF_007097485.1	99663	5435563
GCA_004299445.1	99661	4903484
GCF_005239125.1	99661	4212638
GCF_004322855.1	99657	4637169
GCA_019244235.1	99655	5539083
GCA_023389095.1	99655	4475434
GCF_003815975.1	99655	5318634
GCF_017916475.1	99654	4268803
GCF_000332215.1	99651	5476421
GCA_016124425.1	99649	5514423
GCF_001940785.1	99649	5438354
GCF_000342045.1	99642	4870514
GCF_002025665.1	99640	5314748
GCA_015654695.1	99637	5422596
GCF_014851865.1	99632	5088210
GCA_011772595.1	99631	5573343
GCF_003402475.1	99631	5006351
GCF_001902635.1	99628	5258534
GCA_019750475.1	99627	4558056
GCA_903886275.1	99627	5185666
GCF_020784175.1	99626	4933425
GCA_011050085.1	99625	5481803
GCA_014859895.1	99625	5096654
GCA_019310385.1	99610	4930228
GCF_001247745.1	99608	4464286
GCF_006874425.1	99608	5509884
GCA_002708905.1	99606	5418417
GCF_015680235.1	99606	5065022
GCF_002797495.1	99605	4402465
GCF_000012325.1	99602	5373180
GCF_023715155.1	99599	5410113
GCA_019455225.1	99598	5121763
GCF_001424685.1	99598	4797175
GCF_019218285.1	99598	5120735
GCF_003865095.1	99590	5195089
GCA_003138975.1	99583	5453551
GCF_900105355.1	99580	5229617
GCF_000750635.1	99578	5388101
GCF_000212695.1	99575	4266344
