assembly	ident	qlen	queries	tool	hits	recall	genome_size
GCF_000013425.1	96	Query length: 500 bp	93415	Ropebwt3	92826	99.3695	2821361
GCF_000195955.2	96	Query length: 500 bp	146344	Ropebwt3	145319	99.2996	4411532
GCF_000240185.1	96	Query length: 500 bp	188559	Ropebwt3	185936	98.6089	5682322
GCF_001457635.1	96	Query length: 500 bp	70086	Ropebwt3	69107	98.6031	2110968
GCF_008632635.1	96	Query length: 500 bp	132149	Ropebwt3	130720	98.9186	3980230
GCF_018885085.1	96	Query length: 500 bp	135964	Ropebwt3	134150	98.6658	4095894
GCF_022869705.1	96	Query length: 500 bp	95123	Ropebwt3	94282	99.1159	2866948
GCF_000005845.2	96	Query length: 1000 bp	46417	Blastn	46416	99.9978	4641652
GCF_000006765.1	96	Query length: 1000 bp	62645	Blastn	62644	99.9984	6264404
GCF_000006945.2	96	Query length: 1000 bp	49517	Blastn	49517	100.0000	4951383
GCF_000013425.1	96	Query length: 1000 bp	28212	Blastn	28212	100.0000	2821361
GCF_000195955.2	96	Query length: 1000 bp	44115	Blastn	44110	99.9887	4411532
GCF_000240185.1	96	Query length: 1000 bp	56825	Blastn	56825	100.0000	5682322
GCF_001457635.1	96	Query length: 1000 bp	21109	Blastn	21107	99.9905	2110968
GCF_008632635.1	96	Query length: 1000 bp	39804	Blastn	39803	99.9975	3980230
GCF_018885085.1	96	Query length: 1000 bp	40958	Blastn	40957	99.9976	4095894
GCF_022869705.1	96	Query length: 1000 bp	28669	Blastn	28668	99.9965	2866948
GCF_000005845.2	96	Query length: 1000 bp	46417	Blastn(ws=15)	46416	99.9978	4641652
GCF_000006765.1	96	Query length: 1000 bp	62645	Blastn(ws=15)	62645	100.0000	6264404
GCF_000006945.2	96	Query length: 1000 bp	49517	Blastn(ws=15)	49517	100.0000	4951383
GCF_000013425.1	96	Query length: 1000 bp	28212	Blastn(ws=15)	28212	100.0000	2821361
GCF_000195955.2	96	Query length: 1000 bp	44115	Blastn(ws=15)	44115	100.0000	4411532
GCF_000240185.1	96	Query length: 1000 bp	56825	Blastn(ws=15)	56825	100.0000	5682322
GCF_001457635.1	96	Query length: 1000 bp	21109	Blastn(ws=15)	21107	99.9905	2110968
GCF_008632635.1	96	Query length: 1000 bp	39804	Blastn(ws=15)	39803	99.9975	3980230
GCF_018885085.1	96	Query length: 1000 bp	40958	Blastn(ws=15)	40958	100.0000	4095894
GCF_022869705.1	96	Query length: 1000 bp	28669	Blastn(ws=15)	28668	99.9965	2866948
GCF_000005845.2	96	Query length: 1000 bp	46417	COBS	46417	100.00	4641652
GCF_000006765.1	96	Query length: 1000 bp	62645	COBS	62645	100.00	6264404
GCF_000006945.2	96	Query length: 1000 bp	49517	COBS	49517	100.00	4951383
GCF_000013425.1	96	Query length: 1000 bp	28212	COBS	28212	100.00	2821361
GCF_000195955.2	96	Query length: 1000 bp	44115	COBS	44115	100.00	4411532
GCF_000240185.1	96	Query length: 1000 bp	56825	COBS	56825	100.00	5682322
GCF_001457635.1	96	Query length: 1000 bp	21109	COBS	21109	100.00	2110968
GCF_008632635.1	96	Query length: 1000 bp	39804	COBS	39804	100.00	3980230
GCF_018885085.1	96	Query length: 1000 bp	40958	COBS	40958	100.00	4095894
GCF_022869705.1	96	Query length: 1000 bp	28669	COBS	28669	100.00	2866948
GCF_000005845.2	96	Query length: 1000 bp	46417	LexicMap	46416	99.9978	4641652
GCF_000006765.1	96	Query length: 1000 bp	62645	LexicMap	62644	99.9984	6264404
GCF_000006945.2	96	Query length: 1000 bp	49517	LexicMap	49517	100.0000	4951383
GCF_000013425.1	96	Query length: 1000 bp	28212	LexicMap	28212	100.0000	2821361
GCF_000195955.2	96	Query length: 1000 bp	44115	LexicMap	44115	100.0000	4411532
GCF_000240185.1	96	Query length: 1000 bp	56825	LexicMap	56825	100.0000	5682322
GCF_001457635.1	96	Query length: 1000 bp	21109	LexicMap	21107	99.9905	2110968
GCF_008632635.1	96	Query length: 1000 bp	39804	LexicMap	39804	100.0000	3980230
GCF_018885085.1	96	Query length: 1000 bp	40958	LexicMap	40958	100.0000	4095894
GCF_022869705.1	96	Query length: 1000 bp	28669	LexicMap	28668	99.9965	2866948
GCF_000005845.2	96	Query length: 1000 bp	46417	MMseqs2	46407	99.9785	4641652
GCF_000006765.1	96	Query length: 1000 bp	62645	MMseqs2	62626	99.9697	6264404
GCF_000006945.2	96	Query length: 1000 bp	49517	MMseqs2	49464	99.8930	4951383
GCF_000013425.1	96	Query length: 1000 bp	28212	MMseqs2	28176	99.8724	2821361
GCF_000195955.2	96	Query length: 1000 bp	44115	MMseqs2	44078	99.9161	4411532
GCF_000240185.1	96	Query length: 1000 bp	56825	MMseqs2	56766	99.8962	5682322
GCF_001457635.1	96	Query length: 1000 bp	21109	MMseqs2	21081	99.8674	2110968
GCF_008632635.1	96	Query length: 1000 bp	39804	MMseqs2	39744	99.8493	3980230
GCF_018885085.1	96	Query length: 1000 bp	40958	MMseqs2	40708	99.3896	4095894
GCF_022869705.1	96	Query length: 1000 bp	28669	MMseqs2	28664	99.9826	2866948
GCF_000005845.2	96	Query length: 1000 bp	46417	Minimap2	46411	99.9871	4641652
GCF_000006765.1	96	Query length: 1000 bp	62645	Minimap2	62644	99.9984	6264404
GCF_000006945.2	96	Query length: 1000 bp	49517	Minimap2	49517	100.0000	4951383
GCF_000013425.1	96	Query length: 1000 bp	28212	Minimap2	28212	100.0000	2821361
GCF_000195955.2	96	Query length: 1000 bp	44115	Minimap2	44074	99.9071	4411532
GCF_000240185.1	96	Query length: 1000 bp	56825	Minimap2	56747	99.8627	5682322
GCF_001457635.1	96	Query length: 1000 bp	21109	Minimap2	21107	99.9905	2110968
GCF_008632635.1	96	Query length: 1000 bp	39804	Minimap2	39804	100.0000	3980230
GCF_018885085.1	96	Query length: 1000 bp	40958	Minimap2	40808	99.6338	4095894
GCF_022869705.1	96	Query length: 1000 bp	28669	Minimap2	28667	99.9930	2866948
GCF_000005845.2	96	Query length: 1000 bp	46417	Ropebwt3	46216	99.5670	4641652
GCF_000006765.1	96	Query length: 1000 bp	62645	Ropebwt3	62388	99.5898	6264404
GCF_000006945.2	96	Query length: 1000 bp	49517	Ropebwt3	49239	99.4386	4951383
GCF_000013425.1	96	Query length: 1000 bp	28212	Ropebwt3	28116	99.6597	2821361
GCF_000195955.2	96	Query length: 1000 bp	44115	Ropebwt3	43961	99.6509	4411532
GCF_000240185.1	96	Query length: 1000 bp	56825	Ropebwt3	56284	99.0480	5682322
GCF_001457635.1	96	Query length: 1000 bp	21109	Ropebwt3	20884	98.9341	2110968
GCF_008632635.1	96	Query length: 1000 bp	39804	Ropebwt3	39489	99.2086	3980230
GCF_018885085.1	96	Query length: 1000 bp	40958	Ropebwt3	40532	98.9599	4095894
GCF_022869705.1	96	Query length: 1000 bp	28669	Ropebwt3	28535	99.5326	2866948
GCF_000005845.2	96	Query length: 2000 bp	69631	Blastn	69629	99.9971	4641652
GCF_000006765.1	96	Query length: 2000 bp	93974	Blastn	93972	99.9979	6264404
GCF_000006945.2	96	Query length: 2000 bp	74285	Blastn	74283	99.9973	4951383
GCF_000013425.1	96	Query length: 2000 bp	42329	Blastn	42329	100.0000	2821361
GCF_000195955.2	96	Query length: 2000 bp	66180	Blastn	66179	99.9985	4411532
GCF_000240185.1	96	Query length: 2000 bp	85293	Blastn	85292	99.9988	5682322
GCF_001457635.1	96	Query length: 2000 bp	31672	Blastn	31672	100.0000	2110968
GCF_008632635.1	96	Query length: 2000 bp	59717	Blastn	59714	99.9950	3980230
GCF_018885085.1	96	Query length: 2000 bp	61456	Blastn	61455	99.9984	4095894
GCF_022869705.1	96	Query length: 2000 bp	43012	Blastn	43011	99.9977	2866948
GCF_000005845.2	96	Query length: 2000 bp	69631	Blastn(ws=15)	69629	99.9971	4641652
GCF_000006765.1	96	Query length: 2000 bp	93974	Blastn(ws=15)	93973	99.9989	6264404
GCF_000006945.2	96	Query length: 2000 bp	74285	Blastn(ws=15)	74283	99.9973	4951383
GCF_000013425.1	96	Query length: 2000 bp	42329	Blastn(ws=15)	42329	100.0000	2821361
GCF_000195955.2	96	Query length: 2000 bp	66180	Blastn(ws=15)	66180	100.0000	4411532
GCF_000240185.1	96	Query length: 2000 bp	85293	Blastn(ws=15)	85292	99.9988	5682322
GCF_001457635.1	96	Query length: 2000 bp	31672	Blastn(ws=15)	31672	100.0000	2110968
GCF_008632635.1	96	Query length: 2000 bp	59717	Blastn(ws=15)	59714	99.9950	3980230
GCF_018885085.1	96	Query length: 2000 bp	61456	Blastn(ws=15)	61455	99.9984	4095894
GCF_022869705.1	96	Query length: 2000 bp	43012	Blastn(ws=15)	43011	99.9977	2866948
GCF_000005845.2	96	Query length: 2000 bp	69631	COBS	69631	100.00	4641652
GCF_000006765.1	96	Query length: 2000 bp	93974	COBS	93974	100.00	6264404
GCF_000006945.2	96	Query length: 2000 bp	74285	COBS	74285	100.00	4951383
GCF_000013425.1	96	Query length: 2000 bp	42329	COBS	42329	100.00	2821361
GCF_000195955.2	96	Query length: 2000 bp	66180	COBS	66180	100.00	4411532
GCF_000240185.1	96	Query length: 2000 bp	85293	COBS	85293	100.00	5682322
GCF_001457635.1	96	Query length: 2000 bp	31672	COBS	31672	100.00	2110968
GCF_008632635.1	96	Query length: 2000 bp	59717	COBS	59717	100.00	3980230
GCF_018885085.1	96	Query length: 2000 bp	61456	COBS	61456	100.00	4095894
GCF_022869705.1	96	Query length: 2000 bp	43012	COBS	43012	100.00	2866948
GCF_000005845.2	96	Query length: 2000 bp	69631	LexicMap	69628	99.9957	4641652
GCF_000006765.1	96	Query length: 2000 bp	93974	LexicMap	93972	99.9979	6264404
GCF_000006945.2	96	Query length: 2000 bp	74285	LexicMap	74284	99.9987	4951383
GCF_000013425.1	96	Query length: 2000 bp	42329	LexicMap	42329	100.0000	2821361
GCF_000195955.2	96	Query length: 2000 bp	66180	LexicMap	66180	100.0000	4411532
GCF_000240185.1	96	Query length: 2000 bp	85293	LexicMap	85293	100.0000	5682322
GCF_001457635.1	96	Query length: 2000 bp	31672	LexicMap	31671	99.9968	2110968
GCF_008632635.1	96	Query length: 2000 bp	59717	LexicMap	59715	99.9967	3980230
GCF_018885085.1	96	Query length: 2000 bp	61456	LexicMap	61455	99.9984	4095894
GCF_022869705.1	96	Query length: 2000 bp	43012	LexicMap	43011	99.9977	2866948
GCF_000005845.2	96	Query length: 2000 bp	69631	MMseqs2	69622	99.9871	4641652
GCF_000006765.1	96	Query length: 2000 bp	93974	MMseqs2	93957	99.9819	6264404
GCF_000006945.2	96	Query length: 2000 bp	74285	MMseqs2	74225	99.9192	4951383
GCF_000013425.1	96	Query length: 2000 bp	42329	MMseqs2	42254	99.8228	2821361
GCF_000195955.2	96	Query length: 2000 bp	66180	MMseqs2	66150	99.9547	4411532
GCF_000240185.1	96	Query length: 2000 bp	85293	MMseqs2	85232	99.9285	5682322
GCF_001457635.1	96	Query length: 2000 bp	31672	MMseqs2	31644	99.9116	2110968
GCF_008632635.1	96	Query length: 2000 bp	59717	MMseqs2	59632	99.8577	3980230
GCF_018885085.1	96	Query length: 2000 bp	61456	MMseqs2	61172	99.5379	4095894
GCF_022869705.1	96	Query length: 2000 bp	43012	MMseqs2	43005	99.9837	2866948
GCF_000005845.2	96	Query length: 2000 bp	69631	Minimap2	69629	99.9971	4641652
GCF_000006765.1	96	Query length: 2000 bp	93974	Minimap2	93973	99.9989	6264404
GCF_000006945.2	96	Query length: 2000 bp	74285	Minimap2	74284	99.9987	4951383
GCF_000013425.1	96	Query length: 2000 bp	42329	Minimap2	42329	100.0000	2821361
GCF_000195955.2	96	Query length: 2000 bp	66180	Minimap2	66180	100.0000	4411532
GCF_000240185.1	96	Query length: 2000 bp	85293	Minimap2	85267	99.9695	5682322
GCF_001457635.1	96	Query length: 2000 bp	31672	Minimap2	31672	100.0000	2110968
GCF_008632635.1	96	Query length: 2000 bp	59717	Minimap2	59715	99.9967	3980230
GCF_018885085.1	96	Query length: 2000 bp	61456	Minimap2	61396	99.9024	4095894
GCF_022869705.1	96	Query length: 2000 bp	43012	Minimap2	43012	100.0000	2866948
GCF_000005845.2	96	Query length: 2000 bp	69631	Ropebwt3	69497	99.8076	4641652
GCF_000006765.1	96	Query length: 2000 bp	93974	Ropebwt3	93647	99.6520	6264404
GCF_000006945.2	96	Query length: 2000 bp	74285	Ropebwt3	74027	99.6527	4951383
GCF_000013425.1	96	Query length: 2000 bp	42329	Ropebwt3	42234	99.7756	2821361
GCF_000195955.2	96	Query length: 2000 bp	66180	Ropebwt3	66081	99.8504	4411532
GCF_000240185.1	96	Query length: 2000 bp	85293	Ropebwt3	84928	99.5721	5682322
GCF_001457635.1	96	Query length: 2000 bp	31672	Ropebwt3	31398	99.1349	2110968
GCF_008632635.1	96	Query length: 2000 bp	59717	Ropebwt3	59363	99.4072	3980230
GCF_018885085.1	96	Query length: 2000 bp	61456	Ropebwt3	61139	99.4842	4095894
GCF_022869705.1	96	Query length: 2000 bp	43012	Ropebwt3	42897	99.7326	2866948
GCF_000005845.2	95	Query length: 250 bp	314483	Blastn	314174	99.9017	4641652
GCF_000006765.1	95	Query length: 250 bp	423931	Blastn	423465	99.8901	6264404
GCF_000006945.2	95	Query length: 250 bp	336269	Blastn	335958	99.9075	4951383
GCF_000013425.1	95	Query length: 250 bp	190760	Blastn	190374	99.7977	2821361
GCF_000195955.2	95	Query length: 250 bp	298243	Blastn	296415	99.3871	4411532
GCF_000240185.1	95	Query length: 250 bp	385012	Blastn	384680	99.9138	5682322
GCF_001457635.1	95	Query length: 250 bp	143448	Blastn	143250	99.8620	2110968
GCF_008632635.1	95	Query length: 250 bp	269734	Blastn	269166	99.7894	3980230
GCF_018885085.1	95	Query length: 250 bp	277601	Blastn	274749	98.9726	4095894
GCF_022869705.1	95	Query length: 250 bp	194207	Blastn	193749	99.7642	2866948
GCF_000005845.2	95	Query length: 250 bp	314483	Blastn(ws=15)	314472	99.9965	4641652
GCF_000006765.1	95	Query length: 250 bp	423931	Blastn(ws=15)	423911	99.9953	6264404
GCF_000006945.2	95	Query length: 250 bp	336269	Blastn(ws=15)	336250	99.9943	4951383
GCF_000013425.1	95	Query length: 250 bp	190760	Blastn(ws=15)	190750	99.9948	2821361
GCF_000195955.2	95	Query length: 250 bp	298243	Blastn(ws=15)	297937	99.8974	4411532
GCF_000240185.1	95	Query length: 250 bp	385012	Blastn(ws=15)	384995	99.9956	5682322
GCF_001457635.1	95	Query length: 250 bp	143448	Blastn(ws=15)	143442	99.9958	2110968
GCF_008632635.1	95	Query length: 250 bp	269734	Blastn(ws=15)	269713	99.9922	3980230
GCF_018885085.1	95	Query length: 250 bp	277601	Blastn(ws=15)	277487	99.9589	4095894
GCF_022869705.1	95	Query length: 250 bp	194207	Blastn(ws=15)	194195	99.9938	2866948
GCF_000005845.2	95	Query length: 250 bp	314483	COBS	280489	89.19	4641652
GCF_000006765.1	95	Query length: 250 bp	423931	COBS	380953	89.86	6264404
GCF_000006945.2	95	Query length: 250 bp	336269	COBS	301518	89.67	4951383
GCF_000013425.1	95	Query length: 250 bp	190760	COBS	170872	89.57	2821361
GCF_000195955.2	95	Query length: 250 bp	298243	COBS	267235	89.60	4411532
GCF_000240185.1	95	Query length: 250 bp	385012	COBS	343723	89.28	5682322
GCF_001457635.1	95	Query length: 250 bp	143448	COBS	126487	88.18	2110968
GCF_008632635.1	95	Query length: 250 bp	269734	COBS	242077	89.75	3980230
GCF_018885085.1	95	Query length: 250 bp	277601	COBS	248366	89.47	4095894
GCF_022869705.1	95	Query length: 250 bp	194207	COBS	174332	89.77	2866948
GCF_000005845.2	95	Query length: 250 bp	314483	LexicMap	313212	99.5958	4641652
GCF_000006765.1	95	Query length: 250 bp	423931	LexicMap	422200	99.5917	6264404
GCF_000006945.2	95	Query length: 250 bp	336269	LexicMap	334846	99.5768	4951383
GCF_000013425.1	95	Query length: 250 bp	190760	LexicMap	189998	99.6005	2821361
GCF_000195955.2	95	Query length: 250 bp	298243	LexicMap	296878	99.5423	4411532
GCF_000240185.1	95	Query length: 250 bp	385012	LexicMap	383431	99.5894	5682322
GCF_001457635.1	95	Query length: 250 bp	143448	LexicMap	142772	99.5287	2110968
GCF_008632635.1	95	Query length: 250 bp	269734	LexicMap	268665	99.6037	3980230
GCF_018885085.1	95	Query length: 250 bp	277601	LexicMap	276409	99.5706	4095894
GCF_022869705.1	95	Query length: 250 bp	194207	LexicMap	193393	99.5809	2866948
GCF_000005845.2	95	Query length: 250 bp	314483	MMseqs2	314235	99.9211	4641652
GCF_000006765.1	95	Query length: 250 bp	423931	MMseqs2	423426	99.8809	6264404
GCF_000006945.2	95	Query length: 250 bp	336269	MMseqs2	335644	99.8141	4951383
GCF_000013425.1	95	Query length: 250 bp	190760	MMseqs2	190045	99.6252	2821361
GCF_000195955.2	95	Query length: 250 bp	298243	MMseqs2	296885	99.5447	4411532
GCF_000240185.1	95	Query length: 250 bp	385012	MMseqs2	384403	99.8418	5682322
GCF_001457635.1	95	Query length: 250 bp	143448	MMseqs2	142869	99.5964	2110968
GCF_008632635.1	95	Query length: 250 bp	269734	MMseqs2	268699	99.6163	3980230
GCF_018885085.1	95	Query length: 250 bp	277601	MMseqs2	275128	99.1092	4095894
GCF_022869705.1	95	Query length: 250 bp	194207	MMseqs2	194001	99.8939	2866948
GCF_000005845.2	95	Query length: 250 bp	314483	Minimap2	314029	99.8556	4641652
GCF_000006765.1	95	Query length: 250 bp	423931	Minimap2	423917	99.9967	6264404
GCF_000006945.2	95	Query length: 250 bp	336269	Minimap2	336120	99.9557	4951383
GCF_000013425.1	95	Query length: 250 bp	190760	Minimap2	190749	99.9942	2821361
GCF_000195955.2	95	Query length: 250 bp	298243	Minimap2	297457	99.7365	4411532
GCF_000240185.1	95	Query length: 250 bp	385012	Minimap2	384035	99.7462	5682322
GCF_001457635.1	95	Query length: 250 bp	143448	Minimap2	143366	99.9428	2110968
GCF_008632635.1	95	Query length: 250 bp	269734	Minimap2	269238	99.8161	3980230
GCF_018885085.1	95	Query length: 250 bp	277601	Minimap2	275939	99.4013	4095894
GCF_022869705.1	95	Query length: 250 bp	194207	Minimap2	194079	99.9341	2866948
GCF_000005845.2	95	Query length: 250 bp	314483	Ropebwt3	310317	98.6753	4641652
GCF_000006765.1	95	Query length: 250 bp	423931	Ropebwt3	420821	99.2664	6264404
GCF_000006945.2	95	Query length: 250 bp	336269	Ropebwt3	332659	98.9265	4951383
GCF_000013425.1	95	Query length: 250 bp	190760	Ropebwt3	189080	99.1193	2821361
GCF_000195955.2	95	Query length: 250 bp	298243	Ropebwt3	295175	98.9713	4411532
GCF_000240185.1	95	Query length: 250 bp	385012	Ropebwt3	378758	98.3756	5682322
GCF_001457635.1	95	Query length: 250 bp	143448	Ropebwt3	140984	98.2823	2110968
GCF_008632635.1	95	Query length: 250 bp	269734	Ropebwt3	266392	98.7610	3980230
GCF_018885085.1	95	Query length: 250 bp	277601	Ropebwt3	273538	98.5364	4095894
GCF_022869705.1	95	Query length: 250 bp	194207	Ropebwt3	192099	98.9146	2866948
GCF_000005845.2	95	Query length: 500 bp	152661	Blastn	152658	99.9980	4641652
GCF_000006765.1	95	Query length: 500 bp	205326	Blastn	205322	99.9981	6264404
GCF_000006945.2	95	Query length: 500 bp	162833	Blastn	162824	99.9945	4951383
GCF_000013425.1	95	Query length: 500 bp	92865	Blastn	92862	99.9968	2821361
GCF_000195955.2	95	Query length: 500 bp	144895	Blastn	144600	99.7964	4411532
GCF_000240185.1	95	Query length: 500 bp	186745	Blastn	186737	99.9957	5682322
GCF_001457635.1	95	Query length: 500 bp	69566	Blastn	69563	99.9957	2110968
GCF_008632635.1	95	Query length: 500 bp	130595	Blastn	130583	99.9908	3980230
GCF_018885085.1	95	Query length: 500 bp	134470	Blastn	134431	99.9710	4095894
GCF_022869705.1	95	Query length: 500 bp	94113	Blastn	94105	99.9915	2866948
GCF_000005845.2	95	Query length: 500 bp	152661	Blastn(ws=15)	152658	99.9980	4641652
GCF_000006765.1	95	Query length: 500 bp	205326	Blastn(ws=15)	205322	99.9981	6264404
GCF_000006945.2	95	Query length: 500 bp	162833	Blastn(ws=15)	162825	99.9951	4951383
GCF_000013425.1	95	Query length: 500 bp	92865	Blastn(ws=15)	92863	99.9978	2821361
GCF_000195955.2	95	Query length: 500 bp	144895	Blastn(ws=15)	144884	99.9924	4411532
GCF_000240185.1	95	Query length: 500 bp	186745	Blastn(ws=15)	186737	99.9957	5682322
GCF_001457635.1	95	Query length: 500 bp	69566	Blastn(ws=15)	69563	99.9957	2110968
GCF_008632635.1	95	Query length: 500 bp	130595	Blastn(ws=15)	130586	99.9931	3980230
GCF_018885085.1	95	Query length: 500 bp	134470	Blastn(ws=15)	134460	99.9926	4095894
GCF_022869705.1	95	Query length: 500 bp	94113	Blastn(ws=15)	94106	99.9926	2866948
GCF_000005845.2	95	Query length: 500 bp	152661	COBS	150782	98.77	4641652
GCF_000006765.1	95	Query length: 500 bp	205326	COBS	203260	98.99	6264404
GCF_000006945.2	95	Query length: 500 bp	162833	COBS	161133	98.96	4951383
GCF_000013425.1	95	Query length: 500 bp	92865	COBS	91880	98.94	2821361
GCF_000195955.2	95	Query length: 500 bp	144895	COBS	143286	98.89	4411532
GCF_000240185.1	95	Query length: 500 bp	186745	COBS	184619	98.86	5682322
GCF_001457635.1	95	Query length: 500 bp	69566	COBS	68563	98.56	2110968
GCF_008632635.1	95	Query length: 500 bp	130595	COBS	129227	98.95	3980230
GCF_018885085.1	95	Query length: 500 bp	134470	COBS	133075	98.96	4095894
GCF_022869705.1	95	Query length: 500 bp	94113	COBS	93166	98.99	2866948
GCF_000005845.2	95	Query length: 500 bp	152661	LexicMap	152658	99.9980	4641652
GCF_000006765.1	95	Query length: 500 bp	205326	LexicMap	205321	99.9976	6264404
GCF_000006945.2	95	Query length: 500 bp	162833	LexicMap	162824	99.9945	4951383
GCF_000013425.1	95	Query length: 500 bp	92865	LexicMap	92861	99.9957	2821361
GCF_000195955.2	95	Query length: 500 bp	144895	LexicMap	144889	99.9959	4411532
GCF_000240185.1	95	Query length: 500 bp	186745	LexicMap	186736	99.9952	5682322
GCF_001457635.1	95	Query length: 500 bp	69566	LexicMap	69562	99.9943	2110968
GCF_008632635.1	95	Query length: 500 bp	130595	LexicMap	130583	99.9908	3980230
GCF_018885085.1	95	Query length: 500 bp	134470	LexicMap	134465	99.9963	4095894
GCF_022869705.1	95	Query length: 500 bp	94113	LexicMap	94107	99.9936	2866948
GCF_000005845.2	95	Query length: 500 bp	152661	MMseqs2	152584	99.9496	4641652
GCF_000006765.1	95	Query length: 500 bp	205326	MMseqs2	205179	99.9284	6264404
GCF_000006945.2	95	Query length: 500 bp	162833	MMseqs2	162600	99.8569	4951383
GCF_000013425.1	95	Query length: 500 bp	92865	MMseqs2	92636	99.7534	2821361
GCF_000195955.2	95	Query length: 500 bp	144895	MMseqs2	144568	99.7743	4411532
GCF_000240185.1	95	Query length: 500 bp	186745	MMseqs2	186477	99.8565	5682322
GCF_001457635.1	95	Query length: 500 bp	69566	MMseqs2	69404	99.7671	2110968
GCF_008632635.1	95	Query length: 500 bp	130595	MMseqs2	130172	99.6761	3980230
GCF_018885085.1	95	Query length: 500 bp	134470	MMseqs2	133595	99.3493	4095894
GCF_022869705.1	95	Query length: 500 bp	94113	MMseqs2	94043	99.9256	2866948
GCF_000005845.2	95	Query length: 500 bp	152661	Minimap2	152527	99.9122	4641652
GCF_000006765.1	95	Query length: 500 bp	205326	Minimap2	205323	99.9985	6264404
GCF_000006945.2	95	Query length: 500 bp	162833	Minimap2	162809	99.9853	4951383
GCF_000013425.1	95	Query length: 500 bp	92865	Minimap2	92864	99.9989	2821361
GCF_000195955.2	95	Query length: 500 bp	144895	Minimap2	144606	99.8005	4411532
GCF_000240185.1	95	Query length: 500 bp	186745	Minimap2	186377	99.8029	5682322
GCF_001457635.1	95	Query length: 500 bp	69566	Minimap2	69552	99.9799	2110968
GCF_008632635.1	95	Query length: 500 bp	130595	Minimap2	130521	99.9433	3980230
GCF_018885085.1	95	Query length: 500 bp	134470	Minimap2	133770	99.4794	4095894
GCF_022869705.1	95	Query length: 500 bp	94113	Minimap2	94082	99.9671	2866948
GCF_000005845.2	95	Query length: 500 bp	152661	Ropebwt3	151166	99.0207	4641652
GCF_000006765.1	95	Query length: 500 bp	205326	Ropebwt3	204131	99.4180	6264404
GCF_000006945.2	95	Query length: 500 bp	162833	Ropebwt3	161461	99.1574	4951383
GCF_000013425.1	95	Query length: 500 bp	92865	Ropebwt3	92228	99.3141	2821361
GCF_000195955.2	95	Query length: 500 bp	144895	Ropebwt3	143815	99.2546	4411532
GCF_000240185.1	95	Query length: 500 bp	186745	Ropebwt3	184210	98.6425	5682322
GCF_001457635.1	95	Query length: 500 bp	69566	Ropebwt3	68490	98.4533	2110968
GCF_008632635.1	95	Query length: 500 bp	130595	Ropebwt3	129272	98.9869	3980230
GCF_018885085.1	95	Query length: 500 bp	134470	Ropebwt3	132667	98.6592	4095894
GCF_022869705.1	95	Query length: 500 bp	94113	Ropebwt3	93316	99.1531	2866948
GCF_000005845.2	95	Query length: 1000 bp	46416	Blastn	46415	99.9978	4641652
GCF_000006765.1	95	Query length: 1000 bp	62644	Blastn	62642	99.9968	6264404
GCF_000006945.2	95	Query length: 1000 bp	49515	Blastn	49514	99.9980	4951383
GCF_000013425.1	95	Query length: 1000 bp	28213	Blastn	28212	99.9965	2821361
GCF_000195955.2	95	Query length: 1000 bp	44117	Blastn	44105	99.9728	4411532
GCF_000240185.1	95	Query length: 1000 bp	56826	Blastn	56821	99.9912	5682322
GCF_001457635.1	95	Query length: 1000 bp	21110	Blastn	21108	99.9905	2110968
GCF_008632635.1	95	Query length: 1000 bp	39804	Blastn	39804	100.0000	3980230
GCF_018885085.1	95	Query length: 1000 bp	40960	Blastn	40958	99.9951	4095894
GCF_022869705.1	95	Query length: 1000 bp	28670	Blastn	28667	99.9895	2866948
GCF_000005845.2	95	Query length: 1000 bp	46416	Blastn(ws=15)	46415	99.9978	4641652
GCF_000006765.1	95	Query length: 1000 bp	62644	Blastn(ws=15)	62642	99.9968	6264404
GCF_000006945.2	95	Query length: 1000 bp	49515	Blastn(ws=15)	49514	99.9980	4951383
GCF_000013425.1	95	Query length: 1000 bp	28213	Blastn(ws=15)	28212	99.9965	2821361
GCF_000195955.2	95	Query length: 1000 bp	44117	Blastn(ws=15)	44117	100.0000	4411532
GCF_000240185.1	95	Query length: 1000 bp	56826	Blastn(ws=15)	56822	99.9930	5682322
GCF_001457635.1	95	Query length: 1000 bp	21110	Blastn(ws=15)	21108	99.9905	2110968
GCF_008632635.1	95	Query length: 1000 bp	39804	Blastn(ws=15)	39804	100.0000	3980230
GCF_018885085.1	95	Query length: 1000 bp	40960	Blastn(ws=15)	40958	99.9951	4095894
GCF_022869705.1	95	Query length: 1000 bp	28670	Blastn(ws=15)	28667	99.9895	2866948
GCF_000005845.2	95	Query length: 1000 bp	46416	COBS	46404	99.97	4641652
GCF_000006765.1	95	Query length: 1000 bp	62644	COBS	62633	99.98	6264404
GCF_000006945.2	95	Query length: 1000 bp	49515	COBS	49504	99.98	4951383
GCF_000013425.1	95	Query length: 1000 bp	28213	COBS	28206	99.98	2821361
GCF_000195955.2	95	Query length: 1000 bp	44117	COBS	44099	99.96	4411532
GCF_000240185.1	95	Query length: 1000 bp	56826	COBS	56809	99.97	5682322
GCF_001457635.1	95	Query length: 1000 bp	21110	COBS	21105	99.98	2110968
GCF_008632635.1	95	Query length: 1000 bp	39804	COBS	39795	99.98	3980230
GCF_018885085.1	95	Query length: 1000 bp	40960	COBS	40946	99.97	4095894
